,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
1066,2min fm station. 20min Ueno. 25min Tokyo. Room B,30594609,Angeline,Superhost,4.0,35.78673,139.7688,Private room in house,Private room,2,1.0,2.0,4000.0,1,1125,178,98,4.86,4.94,4.9,4.91,4.94,4.62,4.91,2.14,18,2299,1.0,1.0
1067,Female 4 bed dorm 2 min. Otsuka sta. Yamanote line,51117483,Nana,Non-Superhost,2.0,35.73229,139.72904,Shared room in apartment,Shared room,1,1.0,1.0,1446.0,30,120,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05,14,2047,1.0,1.0
1068,"Tokyo Dome, Korakuen. Newly renovated. Downtown -3",44701299,Smile Home,Non-Superhost,16.0,35.7195,139.75163,Private room in hostel,Private room,2,1.0,2.0,1800.0,1,1125,180,115,4.48,4.81,4.5,4.82,4.72,4.76,4.7,2.38,23,2130,1.5,1.0
1069,"Tokyo Dome, Korakuen. Newly renovated. Downtown -5",44701299,Smile Home,Non-Superhost,16.0,35.72053,139.74963,Private room in hostel,Private room,2,1.0,1.0,1800.0,1,1125,159,95,4.35,4.71,4.39,4.76,4.72,4.7,4.51,1.97,22,2130,1.5,1.0
1070,B中文可/Asakusa Kaminarimon foot ring/千束公寓/Wi-Fi/3人OK,129690039,Hongyan,Non-Superhost,4.0,35.72273,139.79611,Entire apartment,Entire home/apt,3,1.0,2.0,7800.0,1,1125,89,60,4.62,4.7,4.85,4.7,4.92,4.1,4.55,1.26,19,1532,1.0,1.0
1075,New Hotel Style Apartment for remote workers #207,111043861,M-1 Tokyo,Non-Superhost,68.0,35.56064,139.70816,Entire apartment,Entire home/apt,1,1.0,1.0,7500.0,2,1125,54,48,4.81,4.9,4.83,4.96,4.92,4.44,4.85,1.0,24,1651,1.0,0.97
1079,On Sale!! Walk to ShinjyukuGyoenmaeSubway in 8min,59440919,Sayaka,Non-Superhost,2.0,35.69217,139.7118,Entire apartment,Entire home/apt,2,1.0,1.0,9000.0,2,1125,47,91,4.7,4.87,4.57,4.93,4.95,4.78,4.71,1.89,17,1978,1.0,1.0
1082,MINOWA~ASAKUSA no.202#Hot spring #Traditional town,72820186,Min,Superhost,2.0,35.72492,139.7949,Private room in apartment,Private room,4,1.0,2.0,8500.0,1,1125,157,80,4.83,4.9,4.94,4.81,4.93,4.46,4.83,1.77,31,1888,1.5,1.0
1083,New house near Ikebukuro/PWifi/1min to stn/Parking,116290893,Maison Mejiro,Superhost,1.0,35.7266,139.69681,Entire house,Entire home/apt,6,2.0,2.0,18714.0,2,45,90,74,4.92,4.95,4.91,4.93,4.96,4.81,4.8,1.54,42,1618,1.0,1.0
1085,Artist Studio Mitaka  201,47350689,Sohei,Non-Superhost,6.0,35.69113,139.56947,Private room in apartment,Private room,4,1.0,0.0,5000.0,4,180,134,62,4.34,4.44,4.35,4.69,4.77,4.56,4.31,1.56,31,2096,1.5,0.88
1087,Clean+Sunny &Relax Room no.201 #ASAKUSA~~~＃MINOWA,72820186,Min,Superhost,2.0,35.72618,139.79509,Private room in apartment,Private room,4,1.0,2.0,8500.0,1,1125,269,82,4.88,4.87,4.94,4.87,4.93,4.56,4.87,1.78,30,1888,1.5,1.0
1089,"Tokyo Dome, Korakuen. Newly renovated. Downtown -6",44701299,Smile Home,Non-Superhost,16.0,35.72031,139.74954,Private room in hostel,Private room,2,1.0,2.0,1800.0,1,1125,180,81,4.53,4.72,4.54,4.79,4.77,4.65,4.59,1.69,27,2130,1.5,1.0
1092,"Tokyo Dome, Korakuen. Newly renovated. Downtown -7",44701299,Smile Home,Non-Superhost,16.0,35.72057,139.75098,Private room in hostel,Private room,2,1.0,2.0,1800.0,1,1125,172,105,4.29,4.61,4.3,4.58,4.54,4.66,4.47,2.19,22,2130,1.5,1.0
1095,Over 90㎡ 4 separated bedrooms guesthouse in Tokyo.,142143989,野田,Non-Superhost,1.0,35.63919,139.63887,Entire apartment,Entire home/apt,5,4.0,5.0,25000.0,2,365,180,5,4.8,5.0,5.0,4.8,5.0,4.6,4.8,5.0,25,1457,2.0,1.0
1096,N51 Near Shinjuku Area/6mins to subway/Wi-Fi/ R601,52075941,Hikari,Non-Superhost,11.0,35.68751,139.66794,Entire apartment,Entire home/apt,6,1.0,3.0,90000.0,1,365,298,37,4.38,4.62,4.46,4.73,4.7,4.14,4.32,0.77,26,2036,1.0,1.0
1097,N49 Shinjuku Area/6-min to subway /3BR/Wi-Fi/701,52075941,Hikari,Non-Superhost,11.0,35.68814,139.66964,Entire apartment,Entire home/apt,8,3.0,4.0,90000.0,1,365,279,20,4.5,4.4,4.3,4.5,4.75,4.6,4.5,0.42,23,2036,1.5,1.0
1099,#5 studio 15min to Shinjuku station #5 apartment,54434007,Shohei,Superhost,5.0,35.67413,139.66024,Entire apartment,Entire home/apt,4,1.0,2.0,5000.0,1,1125,76,139,4.83,4.91,4.9,4.96,4.9,4.65,4.83,2.92,27,2015,1.0,1.0
